"site","treatment","year","mean_Bare_ground","mean_Herbs","mean_Woody_sp","sd_value_Bare_ground","sd_value_Herbs","sd_value_Woody_sp","n_samples_Bare_ground","n_samples_Herbs","n_samples_Woody_sp"
"toledo","control",2021,18.0080067923111,25.1684108155071,56.8235823921817,11.8562755238741,23.2823688621858,29.2803736406686,10,10,10
"toledo","control",2022,20.4692627806016,21.713120487361,57.8176167320375,10.5927229566435,22.3935893433583,27.6324274812119,10,10,10
"toledo","high",2021,35.0098738878845,11.4927250402671,53.4974010718484,21.6671145830959,11.5997965969109,24.5527225614035,10,10,10
"toledo","high",2022,36.0548289448451,7.38059387116663,56.5645771839883,16.3319391398167,8.57977244291877,22.1021320777433,10,10,10
"toledo","hyper",2021,31.7516412142933,2.0446886623771,66.2036701233296,15.7098150495095,2.48607362843762,18.0537756666859,10,10,10
"toledo","hyper",2022,38.0042278151213,2.07415439240803,59.9216177924706,16.4982960826999,3.15955979577478,18.5062437575053,10,10,10
"valencia","control_high",2021,14.3846904020106,21.2075002990196,64.4078092989698,8.76128639527932,9.4965174123355,8.89568464051426,5,5,5
"valencia","control_high",2022,19.3180186362395,15.5793530156035,65.1026283481569,6.85343056900303,7.63355693136293,12.5227347454925,5,5,5
"valencia","control_hyper",2021,16.0307699564894,14.7516777340758,69.2175523094348,2.25169612629233,6.56768181886334,6.1634414302912,5,5,5
"valencia","control_hyper",2022,18.266151669159,14.5321309428992,67.2017173879419,7.49269456752425,11.5873665923197,7.60077442566453,5,5,5
"valencia","high",2021,9.67761195911908,33.7882448832734,56.5341431576075,8.8306791096697,16.0725813089207,13.6063210844399,10,10,10
"valencia","high",2022,11.9476798837213,33.5569049310998,54.4954151851789,5.94817064969557,16.7867687356799,15.8641911282408,10,10,10
"valencia","hyper",2021,9.09582996422626,7.03250459730806,83.8716654384657,4.94832612642783,2.81738219597089,6.45521246891522,10,10,10
"valencia","hyper",2022,16.2340656046909,5.34338066423822,78.4225537310709,8.41317267529032,2.6992587069531,7.58860079949771,10,10,10
