"site","treatment","year","sampling_unit","CWM_browsing","n_observaciones"
"toledo","control",2021,"T10",0,22
"toledo","control",2021,"T51",0,28
"toledo","control",2021,"T52",0,40
"toledo","control",2021,"T53",0,51
"toledo","control",2021,"T6",0,21
"toledo","control",2021,"T64",0,30
"toledo","control",2021,"T65",0,25
"toledo","control",2021,"T7",0,17
"toledo","control",2021,"T8",0,19
"toledo","control",2021,"T9",0,20
"toledo","high",2021,"T11",1.33,28
"toledo","high",2021,"T12",0.81,16
"toledo","high",2021,"T13",2.58,17
"toledo","high",2021,"T14",2.35,17
"toledo","high",2021,"T15",0.79,29
"toledo","high",2021,"T56",0.13,20
"toledo","high",2021,"T57",0.23,29
"toledo","high",2021,"T58",0.87,29
"toledo","high",2021,"T59",0.53,41
"toledo","high",2021,"T60",0.52,31
"toledo","hyper",2021,"T16",1.64,20
"toledo","hyper",2021,"T17",1.2,32
"toledo","hyper",2021,"T19",1.16,33
"toledo","hyper",2021,"T20",1.68,33
"toledo","hyper",2021,"T21",0.82,31
"toledo","hyper",2021,"T22",0.98,28
"toledo","hyper",2021,"T23",0.93,50
"toledo","hyper",2021,"T24",0.09,54
"toledo","hyper",2021,"T25",0.33,44
"toledo","hyper",2021,"T66",1.04,19
"toledo","control",2022,"T10",0,25
"toledo","control",2022,"T51",0,31
"toledo","control",2022,"T52",0,33
"toledo","control",2022,"T53",0,46
"toledo","control",2022,"T6",0,21
"toledo","control",2022,"T64",0,40
"toledo","control",2022,"T65",0,39
"toledo","control",2022,"T7",0,22
"toledo","control",2022,"T8",0,23
"toledo","control",2022,"T9",0,25
"toledo","high",2022,"T11",1.42,25
"toledo","high",2022,"T12",2.01,25
"toledo","high",2022,"T13",1.83,19
"toledo","high",2022,"T14",1.97,17
"toledo","high",2022,"T15",1.4,25
"toledo","high",2022,"T56",1.05,22
"toledo","high",2022,"T57",1,31
"toledo","high",2022,"T58",0.63,29
"toledo","high",2022,"T59",0.97,41
"toledo","high",2022,"T60",0.46,30
"toledo","hyper",2022,"T16",2.67,16
"toledo","hyper",2022,"T17",3.7,29
"toledo","hyper",2022,"T19",2.83,24
"toledo","hyper",2022,"T20",3.11,17
"toledo","hyper",2022,"T21",1.84,35
"toledo","hyper",2022,"T22",0.91,33
"toledo","hyper",2022,"T23",1.89,44
"toledo","hyper",2022,"T24",0.9,66
"toledo","hyper",2022,"T25",1.33,43
"toledo","hyper",2022,"T66",2.43,20
