"site","year","treatment","mean_abundance","sd_abundance","n_abundance","mean_richness","sd_richness","n_richness","mean_simpson","sd_simpson","n_simpson"
"toledo",2021,"control",71,86.4998394346615,10,5.6,1.42984070596848,10,2.54823242091573,1.20587761825603,10
"toledo",2021,"high",46.3,39.6598033278028,10,5.4,1.34989711542111,10,2.59014657312852,1.28290161416306,10
"toledo",2021,"hyper",32,12.1014232404476,10,5.2,2.20100986922922,10,2.93636656652731,1.05648520284764,10
"toledo",2022,"control",54,48.0023147590012,10,5.4,1.7763883459299,10,2.61113453864879,1.27046224348301,10
"toledo",2022,"high",35,29.5822769764451,10,4.6,1.17378779077727,10,2.21408675662332,0.838682807604677,10
"toledo",2022,"hyper",25.7,23.8562826572419,10,4.9,2.92308816911917,10,2.69858678845399,1.09699905575335,10
"valencia",2021,"control_high",3.66666666666667,0.577350269189626,3,1,0,3,1,0,3
"valencia",2021,"control_hyper",6.5,4.94974746830583,2,1,0,2,1,0,2
"valencia",2021,"high",4,1.4142135623731,2,1.5,0.707106781186548,2,1.46153846153846,0.652713951864505,2
"valencia",2021,"hyper",7.85714285714286,5.36745040121693,7,1,0,7,1,0,7
"valencia",2022,"control_high",12.3333333333333,2.3094010767585,3,2,0,3,1.76115885679192,0.192795184253763,3
"valencia",2022,"control_hyper",15.4,4.61519230368573,5,1.8,0.447213595499958,5,1.59282069139629,0.471104319720159,5
"valencia",2022,"high",2,2,4,1.25,0.5,4,1.23076923076923,0.461538461538461,4
"valencia",2022,"hyper",11.3,5.22919156700579,10,1.7,0.483045891539648,10,1.46242323990174,0.363669905522699,10
