"site","treatment","year","plot","media_abundancia_x_ramoneo","n_muestras"
"toledo","control",2021,"T10",0,3
"toledo","control",2021,"T51",0,3
"toledo","control",2021,"T52",0,3
"toledo","control",2021,"T53",0,3
"toledo","control",2021,"T6",0,3
"toledo","control",2021,"T64",0,3
"toledo","control",2021,"T65",0,3
"toledo","control",2021,"T7",0,3
"toledo","control",2021,"T8",0,3
"toledo","control",2021,"T9",0,3
"toledo","control",2022,"T10",0,3
"toledo","control",2022,"T51",0,3
"toledo","control",2022,"T52",0,3
"toledo","control",2022,"T53",0,3
"toledo","control",2022,"T6",0,3
"toledo","control",2022,"T64",0,3
"toledo","control",2022,"T65",0,3
"toledo","control",2022,"T7",0,3
"toledo","control",2022,"T8",0,3
"toledo","control",2022,"T9",0,3
"toledo","high",2021,"T11",0.274257071249552,3
"toledo","high",2021,"T12",0.647619047619048,3
"toledo","high",2021,"T13",0.714285714285714,3
"toledo","high",2021,"T14",0.666666666666667,3
"toledo","high",2021,"T15",1.04086845466156,3
"toledo","high",2021,"T56",0,3
"toledo","high",2021,"T57",0,3
"toledo","high",2021,"T58",0.666666666666667,3
"toledo","high",2021,"T59",0,3
"toledo","high",2021,"T60",0,3
"toledo","high",2022,"T11",0.275516150516151,3
"toledo","high",2022,"T12",2.31746031746032,3
"toledo","high",2022,"T13",1.31159262879693,3
"toledo","high",2022,"T15",0.494117647058824,3
"toledo","high",2022,"T56",0.494708994708995,3
"toledo","high",2022,"T57",0.925925925925926,3
"toledo","high",2022,"T58",0.440848806366048,3
"toledo","high",2022,"T59",0.115384615384615,3
"toledo","high",2022,"T60",0.307692307692308,3
"toledo","hyper",2021,"T16",0.666666666666667,3
"toledo","hyper",2021,"T17",5,3
"toledo","hyper",2021,"T19",1.19457013574661,3
"toledo","hyper",2021,"T20",1,3
"toledo","hyper",2021,"T21",0,3
"toledo","hyper",2021,"T22",0,3
"toledo","hyper",2021,"T23",1.43589743589744,3
"toledo","hyper",2021,"T24",0,3
"toledo","hyper",2021,"T25",0,3
"toledo","hyper",2021,"T66",2.83730158730159,3
"toledo","hyper",2022,"T16",2.05555555555556,3
"toledo","hyper",2022,"T17",0.973856209150327,3
"toledo","hyper",2022,"T19",0,3
"toledo","hyper",2022,"T20",1.16666666666667,3
"toledo","hyper",2022,"T21",0.955555555555555,3
"toledo","hyper",2022,"T23",0.925925925925926,3
"toledo","hyper",2022,"T24",0.256410256410256,3
"toledo","hyper",2022,"T25",0,3
"toledo","hyper",2022,"T66",1.33333333333333,3
